Seller:							
Super:							
Location:							
Date:							
					ช่องนี้ใส่จำนวนสินค้า ที่ AI ดูจากรูป		
ITEM 	DESCRIPTION 	BARCODE 	SELLER CODE	BEFORE COUNT QTY 	CURRENT COUNT QTY 	VARIANCE 	REMARKS 
SK-C-250	NestMe Birdnest All In Daily cream SPF 50 PA+++ 30 g.	8859109851509	299857	15	10	5	
SK-C-255	NestMe Anti-Melasma set (25g. NestMe Birdnest Anti-Melasma Aqua cream +10g. NestMe Birdnest SpotLess HD spot Corrector)	8859109851554	299853	15		15	
SK-CD-136	NestMe Birdnest Collagen White Facial Foam 50 g	8859109860365	299858	15		15	
SK-C-261	NestMe Birdnest Gluta Super C Ampoule 15 ml.	8859109851615	302290	15		15	
SK-C-251	NestMe Birdnest Age Delay Emulsion 30 g.	8859109851516	299855	15		15	
SK-C-246	NestMe Birdnest Anti-Melasma Aqua cream 25g.	8859109851462	299851	15		15	
SK-TCI-113	PrimaNest Vita  Deep Define 30 capsules	8859109863137	296397	15		15	
SK-CD-137	NestMe Birdnest Aqua Sun Protect SPF 50 PA++++ 30g.	8859109860372	299860	15		15	
SK-DK-001	PrimaNest Hydrating Birdnest Sun Gel SPF50+ PA++++ 50 g.	8859109893011	282654	15		15	
SK-C-103	PrimaNest Intense Serum 30 ml.	8859109850038	268168	15		15	
SK-C-128	PrimaNest Nest Cream 30 g.	8859109850281	268169	15		15	
SK-C-129	PrimaNest Aqua Nest Cream 30 g.	8859109850298	268167	15		15	
SK-C-126	PrimaNest Birdnest Total protect SPF50+ PA++++ 30 g.	8859109850267	268166	15		15	
SK-C-170	PrimaNest Whitening Birdnest Vitamin C Essence 30 ml.	8859109850700	271015	15		15	
SK-CD-105	PrimaNest Birdnest Over Night Mask 25 g.	8859109860051	271700	15		15	
SK-TCI-101	PrimaNest Birdnest Aqua Young mask 22 ml. x 1 pcs.	8859109863014	273891	15		15	
SK-C-179	PrimaNest Birdnest Facial Cream Foam 120 ml.	8859109850793	273893	15		15	
SK-C-177	PrimaNest Supreme Gold Birdnest Serum 30 ml.	8859109850779	275431	15		15	
SK-C-176	PrimaNest Supreme Birdnest Cream 50 g.	8859109850762	275430	15		15	
SK-C-224	PrimaNest Whitening Birdnest Vitamin C essence 15 ml. (Watsons)	8859109851240	283156	15		15	
SK-ML-001	PrimaNest Birdnest Face Powder 10g. SPF 25 PA+++ 01 light beige	8859109897019	283158	15		15	
SK-ML-002	PrimaNest Birdnest Face Powder 10g. SPF 25 PA+++ 02 Natural beige	8859109897026	283159	15		15	
